i x0 x1 x2 result
6 -10.000000 1.800000 0.0 0.000006
7 -10.000000 1.800000 0.0 0.000006
8 -10.000000 1.800000 0.0 0.000006
9 -10.000000 1.800000 0.0 0.000006
10 -10.000000 1.800000 0.0 0.000006
1 -10.000000 2.000000 0.0 0.000005
2 -10.000000 2.000000 0.0 0.000005
3 -10.000000 2.000000 0.0 0.000005
4 -10.000000 2.000000 0.0 0.000005
5 -10.000000 2.000000 0.0 0.000005
6 -10.000000 2.000000 0.0 0.000005
7 -10.000000 2.000000 0.0 0.000005
8 -10.000000 2.000000 0.0 0.000005
9 -10.000000 2.000000 0.0 0.000005
